Event type,Name,Date,Time,Location
<span aria-label="Workshop" title="Workshop">:material-tools:</span>,**Data Wrangling and Visualization in Python**,January 28 and 30,9:30AM-12:00PM,In person
<span aria-label="Workshop" title="Workshop">:material-tools:</span>,**Introduction to Python**,January 21-24,9:30AM-12:30PM,In person
<span aria-label="Workshop" title="Workshop">:material-tools:</span>,**Introduction to R**,January 13-16,9:30AM-12:30PM,In person
