Event type,Name,Date,Time,Location
"<span aria-label=""User group meeting"" title=""User group meeting"">:material-account-group:</span>",**Comparative Genomics User Group Meeting***,June 15,3:30PM-4:30PM,Northwest Building B253
"<span aria-label=""Programming and Pizza"" title=""Programming and Pizza"">:fontawesome-solid-pizza-slice:</span>",**Programming and Pizza**,June 10,4:00PM-6:00PM,Northwest Building B227.45
"<span aria-label=""Programming and Pizza"" title=""Programming and Pizza"">:fontawesome-solid-pizza-slice:</span>",**Programming and Pizza**,May 13,4:00PM-6:00PM,Northwest Building B227.45
"<span aria-label=""User group meeting"" title=""User group meeting"">:material-account-group:</span>",**Comparative Genomics User Group Meeting***,May 2,2:00PM-3:00PM,Northwest Building B253
"<span aria-label=""Programming and Pizza"" title=""Programming and Pizza"">:fontawesome-solid-pizza-slice:</span>",**Programming and Pizza**,April 8,4:00PM-6:00PM,Northwest Building B227.45
"<span aria-label=""Workshop"" title=""Workshop"">:material-tools:</span>",**Genomics on the Command Line**,"April 2, 9, 16, and 23",9:30AM-12:30PM,Northwest Building 453
"<span aria-label=""Special event"" title=""Special event"">:material-star-plus-outline:</span>",**Using OMERO for Imaging Workflows: A Full-Day Virtual Hands-On Workshop**,March 27,9:00AM-4:00PM,Virtual
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**Introduction to single-cell RNA-seq analysis Part 2: clustering cell type annotation and differential expression**,March 26,11:00AM-12:00PM,Virtual
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**Introduction to single-cell RNA-seq analysis Part 1: Pre-processing and cleanup**,March 19,11:00AM-12:00PM,Virtual
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**How to effectively use LLMs and coding agents for bioinformatics**,March 12,11:00AM-12:00PM,Virtual
"<span aria-label=""Programming and Pizza"" title=""Programming and Pizza"">:fontawesome-solid-pizza-slice:</span>",**Programming and Pizza**,March 11,4:00PM-6:00PM,Northwest Building B227.45
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**Command Line 101: SLURM and job management tips**,March 6,11:00AM-12:00PM,Virtual
"<span aria-label=""Special event"" title=""Special event"">:material-star-plus-outline:</span>",**Research Services Showcase**,March 5,10:00AM-4:00PM,Virtual
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**Command Line 101: Git/GitHub on the cluster and on your computer**,February 26,11:00AM-12:00PM,Virtual
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**Command Line 101: Integrating your local and cluster compute environments**,February 19,11:00AM-12:00PM,Virtual
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**Command Line 101: Tips & tricks for aspiring power users**,February 12,11:00AM-12:00PM,Virtual
"<span aria-label=""Programming and Pizza"" title=""Programming and Pizza"">:fontawesome-solid-pizza-slice:</span>",**Programming and Pizza**,February 11,4:00PM-6:00PM,Northwest Building B227.45
"<span aria-label=""Short training"" title=""Short training"">:material-monitor-account:</span>",**Command Line 101: What's the deal with directories?**,February 5,11:00AM-12:00PM,Virtual
