Resource,Tags
<a href='https://web.stanford.edu/class/bios221/book/' target='_blank'>Modern statistics for modern biology</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://rafalab.dfci.harvard.edu/pages/harvardx.html' target='_blank'>Data analysis for the life sciences Harvard EdX course</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../harvard/'>harvard</a></span> <span class='tag-link'><a href='../high-performance-computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../machine-learning/'>machine learning</a></span> <span class='tag-link'><a href='../python/'>python</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../RNA-seq/'>RNA seq</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://statistics.fas.harvard.edu/harvard-statistics-consulting-service' target='_blank'>Harvard Statistics department consulting office hours</a>,<span class='tag-link'><a href='../harvard/'>harvard</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
