Resource,Tags
<a href='https://r4ds.hadley.nz/' target='_blank'>R for data science book</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../R/'>R</a></span>
<a href='https://web.stanford.edu/class/bios221/book/' target='_blank'>Modern statistics for modern biology</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://github.com/rfordatascience/tidytuesday ' target='_blank'>Tidy Tuesday</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../python/'>python</a></span> <span class='tag-link'><a href='../R/'>R</a></span>
<a href='https://rafalab.dfci.harvard.edu/pages/harvardx.html' target='_blank'>Data analysis for the life sciences Harvard EdX course</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../harvard/'>harvard</a></span> <span class='tag-link'><a href='../high-performance-computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../machine-learning/'>machine learning</a></span> <span class='tag-link'><a href='../python/'>python</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../RNA-seq/'>RNA seq</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://www.youtube.com/c/riffomonasproject' target='_blank'>Riffomonas project: R tutorials for biologist on YouTube</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../data-visualization/'>data visualization</a></span> <span class='tag-link'><a href='../R/'>R</a></span>
<a href='https://satijalab.org/seurat/articles/get_started.html' target='_blank'>Guided workflows for R package Suerat (for RNA-seq)</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../RNA-seq/'>RNA seq</a></span> <span class='tag-link'><a href='../single-cell/'>single cell</a></span>
