Resource,Tags
<a href='https://github.com/fasrc/User_Codes' target='_blank'>FAS RC User Codes</a>,<span class='tag-link'><a href='../harvard/'>harvard</a></span> <span class='tag-link'><a href='../high-performance-computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../unix/'>unix</a></span>
<a href='https://rafalab.dfci.harvard.edu/pages/harvardx.html' target='_blank'>Data analysis for the life sciences Harvard EdX course</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../harvard/'>harvard</a></span> <span class='tag-link'><a href='../high-performance-computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../machine-learning/'>machine learning</a></span> <span class='tag-link'><a href='../python/'>python</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../RNA-seq/'>RNA seq</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://docs.rc.fas.harvard.edu/kb/quickstart-guide/' target='_blank'>Harvard Research Computing quickstart guide</a>,<span class='tag-link'><a href='../harvard/'>harvard</a></span> <span class='tag-link'><a href='../high-performance-computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../unix/'>unix</a></span>
