Resource,Tags
<a href='https://r4ds.hadley.nz/' target='_blank'>R for data science book</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../R/'>R</a></span>
<a href='https://web.stanford.edu/class/bios221/book/' target='_blank'>Modern statistics for modern biology</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://github.com/rfordatascience/tidytuesday ' target='_blank'>Tidy Tuesday</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../python/'>python</a></span> <span class='tag-link'><a href='../R/'>R</a></span>
<a href='https://www.youtube.com/playlist?list=PLWIsV2soJK-VaW7IhxYyyOwiamjVV_FuB' target='_blank'>Harvard library data services youtube series on data management</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../harvard/'>harvard</a></span>
<a href='http://rafalab.dfci.harvard.edu/pages/harvardx.html' target='_blank'>Data analysis for the life sciences Harvard EdX course</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../harvard/'>harvard</a></span> <span class='tag-link'><a href='../high-performance-computer/'>high-performance computer</a></span> <span class='tag-link'><a href='../machine-learning/'>machine learning</a></span> <span class='tag-link'><a href='../python/'>python</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../RNA-seq/'>RNA seq</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://www.youtube.com/c/riffomonasproject' target='_blank'>Riffomonas project: R tutorials for biologist on YouTube</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../data-visualization/'>data visualization</a></span> <span class='tag-link'><a href='../R/'>R</a></span>
<a href='https://bioinformaticsworkbook.org' target='_blank'>Bioinformatics workbook</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../genome-assembly/'>genome assembly</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../metagenomics/'>metagenomics</a></span> <span class='tag-link'><a href='../nextflow/'>nextflow</a></span> <span class='tag-link'><a href='../RNA-seq/'>RNA seq</a></span>
<a href='https://docs.python.org/3/tutorial/index.html' target='_blank'>The Python Tutorial</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../data-visualization/'>data visualization</a></span> <span class='tag-link'><a href='../python/'>python</a></span>
<a href='https://jakevdp.github.io/PythonDataScienceHandbook/' target='_blank'>Python for data science handbook</a>,<span class='tag-link'><a href='../data-science/'>data science</a></span> <span class='tag-link'><a href='../data-visualization/'>data visualization</a></span> <span class='tag-link'><a href='../machine-learning/'>machine learning</a></span> <span class='tag-link'><a href='../python/'>python</a></span>
