Resource,Tags
<a href='https://swcarpentry.github.io/git-novice/' target='_blank'>Software carpentry novice git lesson</a>,<span class='tag-link'><a href='../git/'>git</a></span> <span class='tag-link'><a href='../unix/'>unix</a></span>
<a href='https://missing.csail.mit.edu/' target='_blank'>Missing semester of your CS education</a>,<span class='tag-link'><a href='../git/'>git</a></span> <span class='tag-link'><a href='../unix/'>unix</a></span>
<a href='https://github.com/fasrc/User_Codes' target='_blank'>FAS RC User Codes</a>,<span class='tag-link'><a href='../high-performance computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../unix/'>unix</a></span>
<a href='https://docs.rc.fas.harvard.edu/kb/quickstart-guide/' target='_blank'>Harvard Research Computing quickstart guide</a>,<span class='tag-link'><a href='../high-performance computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../unix/'>unix</a></span>
