Resource,Tags
<a href='https://datacarpentry.org/wrangling-genomics/index.html' target='_blank'>Data carpentry data wrangling for genomics</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../variant calling/'>variant calling</a></span>
<a href='https://www.bv-brc.org/' target='_blank'>Bacterial and viral bioinformatics resource center</a>,<span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../metagenomics/'>metagenomics</a></span> <span class='tag-link'><a href='../microbiology/'>microbiology</a></span>
<a href='http://rafalab.dfci.harvard.edu/pages/harvardx.html' target='_blank'>Data analysis for the life sciences Harvard EdX course</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data science/'>data science</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../high-performance computing/'>high-performance computing</a></span> <span class='tag-link'><a href='../machine learning/'>machine learning</a></span> <span class='tag-link'><a href='../python/'>python</a></span> <span class='tag-link'><a href='../R/'>R</a></span> <span class='tag-link'><a href='../RNA seq/'>RNA seq</a></span> <span class='tag-link'><a href='../statistics/'>statistics</a></span>
<a href='https://bioinformaticsworkbook.org' target='_blank'>Bioinformatics workbook</a>,<span class='tag-link'><a href='../bioinformatics/'>bioinformatics</a></span> <span class='tag-link'><a href='../data science/'>data science</a></span> <span class='tag-link'><a href='../genome assembly/'>genome assembly</a></span> <span class='tag-link'><a href='../genomics/'>genomics</a></span> <span class='tag-link'><a href='../metagenomics/'>metagenomics</a></span> <span class='tag-link'><a href='../nextflow/'>nextflow</a></span> <span class='tag-link'><a href='../RNA seq/'>RNA seq</a></span>
